Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;Year
1;Stephen Curry;27;GSW;131.0;1310.0;1310;1.0;79;34.2;30.янв;05.апр;06.июл;02.янв;0.2;0.504;0.454;0.908;17.сен;0.318;2016
2;Kawhi Leonard;24;SAS;0.0;634.0;1310;0.484;72;33.1;21.фев;06.авг;02.июн;01.авг;1.0;0.506;0.443;0.874;13.июл;0.277;2016
3;LeBron James;31;CLE;0.0;631.0;1310;0.482;76;35.6;25.мар;07.апр;06.авг;01.апр;0.6;0.52;0.309;0.731;13.июн;0.242;2016
4;Russell Westbrook;27;OKC;0.0;486.0;1310;0.371;80;34.4;23.май;07.авг;10.апр;2.0;0.3;0.454;0.296;0.812;14.0;0.245;2016
5;Kevin Durant;27;OKC;0.0;147.0;1310;0.112;72;35.8;28.фев;08.фев;5.0;1.0;01.фев;0.505;0.387;0.898;14.май;0.27;2016
6;Chris Paul;30;LAC;0.0;107.0;1310;0.082;74;32.7;19.май;04.фев;10.0;02.янв;0.2;0.462;0.371;0.896;12.июл;0.253;2016
7;Draymond Green;25;GSW;0.0;50.0;1310;0.038;81;34.7;14.0;09.май;07.апр;01.май;01.апр;0.49;0.388;0.696;11.янв;0.19;2016
8;Damian Lillard;25;POR;0.0;26.0;1310;0.02;75;35.7;25.янв;4.0;06.авг;0.9;0.4;0.419;0.375;0.892;09.фев;0.165;2016
9;James Harden;26;HOU;0.0;9.0;1310;0.007;82;38.1;29.0;06.янв;07.май;01.июл;0.6;0.439;0.359;0.86;13.мар;0.204;2016
10;Kyle Lowry;29;TOR;0.0;6.0;1310;0.005;77;37.0;21.фев;04.июл;06.апр;02.янв;0.4;0.427;0.388;0.811;11.июн;0.196;2016
1;Russell Westbrook;28;OKC;69.0;888.0;1010;0.879;81;34.6;31.6;10.июл;10.апр;01.июн;0.4;0.425;0.343;0.845;13.янв;0.224;2017
2;James Harden;27;HOU;22.0;753.0;1010;0.746;81;36.4;29.янв;08.янв;11.фев;01.май;0.5;0.44;0.347;0.847;15.0;0.245;2017
3;Kawhi Leonard;25;SAS;9.0;500.0;1010;0.495;74;33.4;25.май;05.авг;03.май;01.авг;0.7;0.485;0.38;0.88;13.июн;0.264;2017
4;LeBron James;32;CLE;1.0;333.0;1010;0.33;74;37.8;26.апр;08.июн;08.июл;01.фев;0.6;0.548;0.363;0.674;12.сен;0.221;2017
5;Isaiah Thomas;27;BOS;0.0;81.0;1010;0.08;76;33.8;28.сен;02.июл;05.сен;0.9;0.2;0.463;0.379;0.909;12.май;0.234;2017
6;Stephen Curry;28;GSW;0.0;52.0;1010;0.051;79;33.4;25.мар;04.май;06.июн;01.авг;0.2;0.468;0.411;0.898;12.июн;0.229;2017
7T;Giannis Antetokounmpo;22;MIL;0.0;7.0;1010;0.007;80;35.6;22.сен;08.авг;05.апр;01.июн;01.сен;0.521;0.272;0.77;12.апр;0.21;2017
7T;John Wall;26;WAS;0.0;7.0;1010;0.007;78;36.4;23.янв;04.фев;10.июл;2.0;0.6;0.451;0.327;0.801;08.авг;0.149;2017
9T;Anthony Davis;23;NOP;0.0;2.0;1010;0.002;75;36.1;28.0;11.авг;02.янв;01.мар;02.фев;0.505;0.299;0.802;11.0;0.195;2017
9T;Kevin Durant;28;GSW;0.0;2.0;1010;0.002;62;33.4;25.янв;08.мар;04.авг;01.янв;01.июн;0.537;0.375;0.875;12.0;0.278;2017
11;DeMar DeRozan;27;TOR;0.0;1.0;1010;0.001;74;35.4;27.мар;05.фев;03.сен;01.янв;0.2;0.467;0.266;0.842;9.0;0.166;2017
1;James Harden;28;HOU;86.0;965.0;1010;0.955;72;35.4;30.апр;05.апр;08.авг;01.авг;0.7;0.449;0.367;0.858;15.апр;0.289;2018
2;LeBron James;33;CLE;15.0;738.0;1010;0.731;82;36.9;27.май;08.июн;09.янв;01.апр;0.9;0.542;0.367;0.731;14.0;0.221;2018
3;Anthony Davis;24;NOP;0.0;445.0;1010;0.441;75;36.4;28.янв;11.янв;02.мар;01.май;02.июн;0.534;0.34;0.828;13.июл;0.241;2018
4;Damian Lillard;27;POR;0.0;207.0;1010;0.205;73;36.6;26.сен;04.май;06.июн;01.янв;0.4;0.439;0.361;0.916;12.июн;0.227;2018
5;Russell Westbrook;29;OKC;0.0;76.0;1010;0.075;80;36.4;25.апр;10.янв;10.мар;01.авг;0.3;0.449;0.298;0.737;10.янв;0.166;2018
6;Giannis Antetokounmpo;23;MIL;0.0;75.0;1010;0.074;75;36.7;26.сен;10.0;04.авг;01.май;01.апр;0.529;0.307;0.76;11.сен;0.207;2018
7;Kevin Durant;29;GSW;0.0;66.0;1010;0.065;68;34.2;26.апр;06.авг;05.апр;0.7;01.авг;0.516;0.419;0.889;10.апр;0.215;2018
8;DeMar DeRozan;28;TOR;0.0;32.0;1010;0.032;80;33.9;23.0;03.сен;05.фев;01.янв;0.3;0.456;0.31;0.825;09.июн;0.17;2018
9;LaMarcus Aldridge;32;SAS;0.0;6.0;1010;0.006;75;33.5;23.янв;08.май;2.0;0.6;01.фев;0.51;0.293;0.837;10.сен;0.209;2018
10T;Jimmy Butler;28;MIN;0.0;5.0;1010;0.005;59;36.7;22.фев;05.мар;04.сен;2.0;0.4;0.474;0.35;0.854;08.сен;0.198;2018
10T;Stephen Curry;29;GSW;0.0;5.0;1010;0.005;51;32.0;26.апр;05.янв;06.янв;01.июн;0.2;0.495;0.423;0.921;09.янв;0.267;2018
12;Joel Embiid;23;PHI;0.0;4.0;1010;0.004;63;30.мар;22.сен;11.0;03.фев;0.6;01.авг;0.483;0.308;0.769;06.фев;0.155;2018
13;Victor Oladipo;25;IND;0.0;2.0;1010;0.002;75;34.0;23.янв;05.фев;04.мар;02.апр;0.8;0.477;0.371;0.799;08.фев;0.155;2018
1;Giannis Antetokounmpo;24;MIL;78.0;941.0;1010;0.932;72;32.8;27.июл;12.май;05.сен;01.мар;01.май;0.578;0.256;0.729;14.апр;0.292;2019
2;James Harden;29;HOU;23.0;776.0;1010;0.768;78;36.8;36.1;06.июн;07.май;2.0;0.7;0.442;0.368;0.879;15.фев;0.254;2019
3;Paul George;28;OKC;0.0;356.0;1010;0.352;77;36.9;28.0;08.фев;04.янв;02.фев;0.4;0.438;0.386;0.839;11.сен;0.201;2019
4;Nikola JokiД‡;23;DEN;0.0;212.0;1010;0.21;80;31.мар;20.янв;10.авг;07.мар;01.апр;0.7;0.511;0.307;0.821;11.авг;0.226;2019
5;Stephen Curry;30;GSW;0.0;175.0;1010;0.173;69;33.8;27.мар;05.мар;05.фев;01.мар;0.4;0.472;0.437;0.916;09.июл;0.199;2019
6;Damian Lillard;28;POR;0.0;69.0;1010;0.068;80;35.5;25.авг;04.июн;06.сен;01.янв;0.4;0.444;0.369;0.912;12.янв;0.205;2019
7;Joel Embiid;24;PHI;0.0;49.0;1010;0.049;64;33.7;27.май;13.июн;03.июл;0.7;01.сен;0.484;0.3;0.804;08.июл;0.194;2019
8;Kevin Durant;30;GSW;0.0;25.0;1010;0.025;78;34.6;26.0;06.апр;05.сен;0.7;01.янв;0.521;0.353;0.885;11.май;0.204;2019
9;Kawhi Leonard;27;TOR;0.0;13.0;1010;0.013;60;34.0;26.июн;07.мар;03.мар;01.авг;0.4;0.496;0.371;0.854;09.май;0.224;2019
10;Russell Westbrook;30;OKC;0.0;8.0;1010;0.008;73;36.0;22.сен;11.янв;10.июл;01.сен;0.5;0.428;0.29;0.656;06.авг;0.124;2019
11T;Rudy Gobert;26;UTA;0.0;1.0;1010;0.001;81;31.авг;15.сен;12.сен;2.0;0.8;02.мар;0.669;;0.636;14.апр;0.268;2019
11T;LeBron James;34;LAL;0.0;1.0;1010;0.001;55;35.2;27.апр;08.май;08.мар;01.мар;0.6;0.51;0.339;0.665;07.фев;0.179;2019
1;Giannis Antetokounmpo;25;MIL;85.0;962.0;1010;0.952;63;30.апр;29.май;13.июн;05.июн;1.0;1.0;0.553;0.304;0.633;11.янв;0.279;2020
2;LeBron James;35;LAL;16.0;753.0;1010;0.746;67;34.6;25.мар;07.авг;10.фев;01.фев;0.5;0.493;0.348;0.693;09.авг;0.204;2020
3;James Harden;30;HOU;0.0;367.0;1010;0.363;68;36.5;34.3;06.июн;07.май;01.авг;0.9;0.444;0.355;0.865;13.янв;0.254;2020
4;Luka DonДЌiД‡;20;DAL;0.0;200.0;1010;0.198;61;33.6;28.авг;09.апр;08.авг;1.0;0.2;0.463;0.316;0.758;08.авг;0.207;2020
5;Kawhi Leonard;28;LAC;0.0;168.0;1010;0.166;57;32.4;27.янв;07.янв;04.сен;01.авг;0.6;0.47;0.378;0.886;08.июл;0.226;2020
6;Anthony Davis;26;LAL;0.0;82.0;1010;0.081;62;34.4;26.янв;09.мар;03.фев;01.май;02.мар;0.503;0.33;0.846;11.янв;0.25;2020
7;Chris Paul;34;OKC;0.0;26.0;1010;0.026;70;31.май;17.июн;5.0;06.июл;01.июн;0.2;0.489;0.365;0.907;08.сен;0.193;2020
8;Damian Lillard;29;POR;0.0;23.0;1010;0.023;66;37.5;30.0;04.мар;8.0;01.янв;0.3;0.463;0.401;0.888;11.июн;0.225;2020
9;Nikola JokiД‡;24;DEN;0.0;18.0;1010;0.018;73;32.0;19.сен;09.июл;7.0;01.фев;0.6;0.528;0.314;0.817;09.авг;0.202;2020
10;Pascal Siakam;25;TOR;0.0;17.0;1010;0.017;60;35.2;22.сен;07.мар;03.май;1.0;0.9;0.453;0.359;0.792;05.апр;0.123;2020
11;Jimmy Butler;30;MIA;0.0;9.0;1010;0.009;58;33.8;19.сен;06.июл;6.0;01.авг;0.6;0.455;0.244;0.834;9.0;0.221;2020
12;Jayson Tatum;21;BOS;0.0;1.0;1010;0.001;66;34.3;23.апр;7.0;3.0;01.апр;0.9;0.45;0.403;0.812;06.сен;0.146;2020
1;Nikola JokiД‡;25;DEN;91.0;971.0;1010;0.961;72;34.6;26.апр;10.авг;08.мар;01.мар;0.7;0.566;0.388;0.868;15.июн;0.301;2021
2;Joel Embiid;26;PHI;1.0;586.0;1010;0.58;51;31.янв;28.май;10.июн;02.авг;1.0;01.апр;0.513;0.377;0.859;08.авг;0.266;2021
3;Stephen Curry;32;GSW;5.0;453.0;1010;0.449;63;34.2;32.0;05.май;05.авг;01.фев;0.1;0.482;0.421;0.916;9.0;0.201;2021
4;Giannis Antetokounmpo;26;MIL;1.0;348.0;1010;0.345;61;33.0;28.янв;11.0;05.сен;01.фев;01.фев;0.569;0.303;0.685;10.фев;0.244;2021
5;Chris Paul;35;PHO;2.0;139.0;1010;0.138;70;31.4;16.апр;04.май;08.сен;01.апр;0.3;0.499;0.395;0.934;09.фев;0.201;2021
6;Luka DonДЌiД‡;21;DAL;0.0;42.0;1010;0.042;66;34.3;27.июл;8.0;08.июн;1.0;0.5;0.479;0.35;0.73;07.июл;0.163;2021
7;Damian Lillard;30;POR;0.0;38.0;1010;0.038;67;35.8;28.авг;04.фев;07.май;0.9;0.3;0.451;0.391;0.928;10.апр;0.209;2021
8;Julius Randle;26;NYK;0.0;20.0;1010;0.02;71;37.6;24.янв;10.фев;6.0;0.9;0.3;0.456;0.411;0.811;07.авг;0.14;2021
9;Derrick Rose;32;TOT;1.0;10.0;1010;0.01;50;25.июн;14.июл;02.июн;04.фев;1.0;0.4;0.47;0.388;0.866;03.янв;0.118;2021
10;Rudy Gobert;28;UTA;0.0;8.0;1010;0.008;71;30.авг;14.мар;13.май;01.мар;0.6;02.июл;0.675;0.0;0.623;11.мар;0.248;2021
11;Russell Westbrook;32;WAS;0.0;5.0;1010;0.005;65;36.4;22.фев;11.май;11.июл;01.апр;0.4;0.439;0.315;0.656;03.июл;0.075;2021
12;Ben Simmons;24;PHI;0.0;3.0;1010;0.003;58;32.4;14.мар;07.фев;06.сен;01.июн;0.6;0.557;0.3;0.613;6.0;0.153;2021
13T;James Harden;31;TOT;0.0;1.0;1010;0.001;44;36.6;24.июн;07.сен;10.авг;01.фев;0.8;0.466;0.362;0.861;7.0;0.208;2021
13T;LeBron James;36;LAL;0.0;1.0;1010;0.001;45;33.4;25.0;07.июл;07.авг;01.янв;0.6;0.513;0.365;0.698;05.июн;0.179;2021
13T;Kawhi Leonard;29;LAC;0.0;1.0;1010;0.001;52;34.1;24.авг;06.май;05.фев;01.июн;0.4;0.512;0.398;0.885;08.авг;0.238;2021
